id,job_title,nice_areas,nice_subcategories,workrole_id,description_id
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0001
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0002
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0003
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0004
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0005
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0006
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0007
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0008
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0009
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0010
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0011
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0013
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0018
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0019
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0018
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0021
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0024
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0026
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0027
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0028
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0029
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0037
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0038
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0040
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0044
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0048
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0049
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0054
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0056
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0059
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0070
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0084
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0089
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0098
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0100
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0101
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0126
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0146
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0168
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0169
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0170
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0179
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0199
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0203
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0260
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0261
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0262
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0267
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0287
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0322
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0342
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0622
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,K0624
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,S0001
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,S0006
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,S0027
h2,Cybersecurity Engineer,Securely Provision,Security Control Assessor,SP-RSK-002,S0034
